met_id,abbreviation,chargedFormula,charge
613,pppg9,C34H38N4O4,-2
614,pcrn,C10H19NO4,0
615,dmnoncrn,C18H37NO4,0
616,crtn,C4H7N3O,0
617,crtsl,C21H30O5,0
618,crtstrn,C21H30O4,0
619,crvnc,C22H31O2,-1
620,cspg_a,C45H66N2O45S3X,-5
621,Ser_Gly_Ala_X_Gly,XH,0
622,cs_a,C45H67N2O46S3,-5
623,cspg_b,C45H65N2O48S4X,-6
624,cs_b,C45H66N2O49S4,-6
625,cspg_c,C45H66N2O45S3X,-5
626,cs_c,C45H67N2O46S3,-5
627,cspg_d,C45H64N2O51S5X,-7
628,cs_d,C45H65N2O52S5,-7
629,cspg_e,C45H63N2O54S6X,-8
630,cs_e,C45H64N2O55S6,-8
631,dmnoncoa,C32H54N7O17P3S,-4
632,csn,C4H5N3O,0
633,ura,C4H4N2O2,0
634,utp,C9H11N2O15P3,-4
635,cyan,CHN,0
636,focytC,C42H54FeN8O6S2,2
637,ficytC,C42H54FeN8O6S2,3
638,q10h2,C59H92O4,0
639,Lcystin,C6H12N2O4S2,0
640,gthrd,C10H16N3O6S,-1
641,gthox,C20H30N6O12S2,-2
642,thcys,C3H7NO2S2,0
643,mercppyr,C3H3O3S,-1
644,cyst_L, which is an autosomal recessive disorder (NIH: 2428), provided the first instance in which
645,cytd,C9H13N3O5,0
646,uri,C9H12N2O6,0
647,cdp,C9H12N3O11P2,-3
648,dgtp,C10H12N5O13P3,-4
649,dgdp,C10H12N5O10P2,-3
650,dcmp,C9H12N3O7P,-2
651,dcdp,C9H12N3O10P2,-3
652,dctp,C9H12N3O13P3,-4
653,dad_2, and widespread skin rashes. The mechanism by which dATP functions as an immunotoxin is as follows: because deoxyadenosine is a precursor to dATP, a buildup of dATP in cells inhibits ribonucleotide reductase and prevents DNA synthesis
654,din,C10H12N4O4,0
655,arg_D,C6H15N4O2,1
656,5g2oxpt,C6H11N3O3,0
657,23doguln,C6H7O7,-1
658,dd2coa,C33H52N7O17P3S,-4
659,dd3coa,C33H52N7O17P3S,-4
660,dcyt,C9H13N3O4,0
661,dump,C9H11N2O8P,-2
662,dcsptn1crn,C29H47NO4,0
663,dcsptn1,C22H33O2,-1
664,L_dpchrm,C9H6NO4,-1
665,56dihindlcrbxlt,C9H6NO4,-1
666,duri,C9H12N2O5,0
667,4h2oglt,C5H4O6,-2
668,debrisoquine,C10H14N3,1
669,decdp,C50H81O7P2,-3
670,dedoldp_L,C1080H1738O70P20,-30
671,dedolp_L,C1080H1738O40P10,-20
672,dedoldp_U,C1025H1650O70P20,-30
673,dedolp_U,C1025H1650O40P10,-20
674,dedol_L,C1080H1748O10,0
675,dedol_U,C1025H1660O10,0
676,dolichol_L,C1080H1768O10,0
677,dolichol_U,C1025H1680O10,0
678,tag_hs,C3H5FULLRCO2FULLR2CO2FULLR3CO2,0
679,dgmp,C10H12N5O7P,-2
680,dgsn,C10H13N5O4,0
681,3dhguln,C6H9O7,-1
682,dhcholestanate,C27H45O4,-1
683,zymstnl,C27H46O,0
684,chlstol,C27H44O,0
685,lthstrl,C27H46O,0
686,dsmsterol,C27H44O,0
687,ddsmsterol,C27H42O,0
688,dhcrm_hs,C18H38NO2FULLRCO,0
689,3dpdhb_me,C58H87O4,-1
690,dheas,C19H27O5S,-1
691,dhea,C19H28O2,0
692,dhf,C19H19N7O6,-2
693,dhor_S,C5H5N2O4,-1
694,orot,C5H3N2O4,-1
695,56dura,C4H6N2O2,0
696,cala,C4H7N2O3,-1
697,56dthm,C5H8N2O2,0
698,dhbpt,C9H13N5O3,0
699,thbpt,C9H15N5O3,0
700,mlthf,C20H21N7O6,-2
701,didp,C10H11N4O10P2,-3
702,digalsgalside_hs,C30H55NO15SFULLRCO,-1
703,digalside_hs,C30H56NO12FULLRCO,0
704,ditp,C10H11N4O13P3,-4
705,dkmpp,C6H9O6PS,-2
706,2kmb,C5H7O3S,-1
707,lac_D,C3H5O3,-1
708,dlnlcgcrn,C27H47NO4,0
709,dlnlcg,C20H33O2,-1
710,13_cis_oretn,C20H27O3,-1
711,13_cis_retn,C20H27O2,-1
712,dem2emgacpail_prot_hs,C37H70N3O34P3FULLRCO2FULLR2CO2X,0
713,dgpi_prot_hs,C39H76N4O37P4FULLRCO2FULLR2CO2X,0
714,dsT_antigen,C36H56N3O26X,-2
715,dttp,C10H13N2O14P3,-4
716,ethamp,C2H7NO4P,-1
717,gpi_sig,Y,0
718,hretn,C20H27O3,-1
719,kdn,C9H15O9,-1
720,m3gacpail_prot_hs,X,0
721,melanin,C9H6NO4,-1
722,mem2emgacpail_prot_hs,C59H110N3O40P3FULLRCO2FULLR2CO2X,0
723,n5m2masn,C74H122N7O50X,0
724,oretn,C20H27O3,-1
725,Ser_Thr,XH,0
726,sprm,C10H30N4,4
727,sTn_antigen,C19H30N2O13X,-1
728,yvite,C28H48O2,0
729,dmantipyrine,C10H10N2O,0
730,dmpp,C5H9O7P2,-3
731,ipdp,C5H9O7P2,-3
732,grdp,C10H17O7P2,-3
733,sarcs,C3H7NO2,0
734,dmhptcoa,C30H52N7O17P3S,-4
735,dmhptcrn,C16H35NO4,0
736,dnad,C21H24N6O15P2,-2
737,dna,C10H17O8PR2,0
738,dna5mtc,C11H19O8PR2,0
739,seasmet,C15H23N6O5Se,1
740,seahcys,C14H20N6O5Se,0
741,dtdp,C10H13N2O11P2,-3
742,dudp,C9H11N2O11P2,-3
743,dutp,C9H11N2O14P3,-4
744,lyxnt,C5H9O6,-1
745,xylnt,C5H9O6,-1
746,thrnt,C4H7O5,-1
747,eryth,C4H8O4,0
748,g3m8mpdol_L,C1960H3228N20O770P20,-20
749,doldp_L,C1080H1758O70P20,-30
750,g3m8masn,C88H147N2O70X,0
751,g3m8mpdol_U,C1905H3140N20O770P20,-20
752,doldp_U,C1025H1670O70P20,-30
753,dolglcp_L,C1140H1868O90P10,-10
754,dolglcp_U,C1085H1780O90P10,-10
755,m8mpdol_L,C1780H2928N20O620P20,-20
756,g1m8mpdol_L,C1840H3028N20O670P20,-20
757,m8mpdol_U,C1725H2840N20O620P20,-20
758,g1m8mpdol_U,C1785H2940N20O670P20,-20
759,g2m8mpdol_L,C1900H3128N20O720P20,-20
760,g2m8mpdol_U,C1845H3040N20O720P20,-20
761,m4mpdol_L,C1540H2528N20O420P20,-20
762,m5mpdol_L,C1600H2628N20O470P20,-20
763,m4mpdol_U,C1485H2440N20O420P20,-20
764,m5mpdol_U,C1545H2540N20O470P20,-20
765,m6mpdol_L,C1660H2728N20O520P20,-20
766,m6mpdol_U,C1605H2640N20O520P20,-20
767,m7mpdol_L,C1720H2828N20O570P20,-20
768,m7mpdol_U,C1665H2740N20O570P20,-20
769,2c23dh56dhoxin,C9H8NO4,-1
770,dopaqn,C9H9NO4,0
771,dopasf,C8H11NO5S,0
772,orn_D,C5H13N2O2,1
773,5a2opntn,C5H9NO3,0
774,dpcoa,C21H33N7O13P2S,-2
775,23dpg,C3H3O10P2,-5
776,5dpmev,C6H10O10P2,-4
777,frdp,C15H25O7P2,-3
778,pro_D,C5H9NO2,0
779,1p2cbxl,C5H6NO2,-1
780,2dr5p,C5H9O7P,-2
781,g3p,C3H5O6P,-2
782,dtmp,C10H13N2O8P,-2
783,thym,C5H6N2O2,0
784,eaflatoxin,C17H12O7,0
785,ebastineoh,C32H39NO3,0
786,ebastine,C32H39NO2,0
787,ecgon,C9H14NO3,-1
788,pecgon,C9H14NO3,-1
789,3hbcoa,C25H38N7O18P3S,-4
790,3hmbcoa,C26H40N7O18P3S,-4
791,eicostetcrn,C27H45NO4,0
792,eicostet,C20H31O2,-1
793,elaidcrn,C25H47NO4,0
794,elaid,C18H33O2,-1
795,s2l2n2m2m,C84H136N6O62,-2
796,s2l2n2m2mn,C76H123N5O57,-2
797,n2m2nm,C58H97N5O41,0
798,ksi_deg2,C241H384N17O210S12,-13
799,ksi_deg3,C233H371N16O205S12,-13
800,g1m8masn,C76H127N2O60X,0
801,glc1man,C12H22O11,0
802,m7masnA,C64H107N2O50X,0
803,g2m8masn,C82H137N2O65X,0
804,glc2man,C18H32O16,0
805,glc3man,C24H42O21,0
806,g1m7masnC,C70H117N2O55X,0
807,m6masnC,C58H97N2O45X,0
808,g1m7masnB,C70H117N2O55X,0
809,m6masnB2,C58H97N2O45X,0
810,g1m6masnB1,C64H107N2O50X,0
811,m5masnB1,C52H87N2O40X,0
812,2pg,C3H4O7P,-3
813,2ameph,C2H7NO3P,-1
814,cmp2amep,C11H19N4O10P2,-1
815,estradiolglc,C24H32O8,0
816,estradiol,C18H24O2,0
817,estriolglc,C24H32O9,0
818,estriol,C18H24O3,0
819,estroneglc,C24H30O8,0
820,estrones,C18H21O5S,-1
821,estrone,17513923,17470679
822,etfox,R,0
823,etfrd,RH2,0
824,etha,C2H8NO,1
825,11_cis_retfa,C20H29OFULLR2CO,0
826,13_cis_retnglc,C26H35O8,-1
827,1glyc_hs,C6H13O7PFULLRCO2,-1
828,9_cis_retfa,C20H29OFULLR2CO,0
829,adprbp,C15H20N5O17P3,-4
830,fe2,Fe,2
831,fe3,Fe,3
832,fol,C19H18N7O6,-1
833,fru, such as beets, sweet potatoes
834,fuc13galacglcgal14acglcgalgluside_hs,C64H112N3O36FULLRCO,0
835,fuc14galacglcgalgluside_hs,C50H89N2O26FULLRCO,0
836,fucacgalfucgalacglcgalgluside_hs,C64H112N3O35FULLRCO,0
837,fucacngal14acglcgalgluside_hs,C61H105N3O34FULLRCO,-1
838,fucacngalacglcgalgluside_hs,C61H105N3O34FULLRCO,-1
839,fucfuc12gal14acglcgalgluside_hs,C56H99N2O30FULLRCO,0
840,fucfuc132galacglcgal14acglcgalgluside_hs,C70H122N3O40FULLRCO,0
841,fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs,C90H155N4O54FULLRCO,0
842,fucfucfucgalacglcgal14acglcgalgluside_hs,C76H132N3O44FULLRCO,0
843,fucfucgalacglcgalgluside_hs,C56H99N2O30FULLRCO,0
844,fucgal14acglcgalgluside_hs,C50H89N2O26FULLRCO,0
845,fucgalfucgalacglcgalgluside_hs,C62H109N2O35FULLRCO,0
846,fucgalgbside_hs,C56H99N2O31FULLRCO,0
847,fuc_L,C6H12O5,0
848,gal,C6H12O6,0
849,gam,C6H14NO5,1
850,gd1b2_hs,C66H111N4O38FULLRCO,-2
851,gd1c_hs,C66H111N4O38FULLRCO,-2
852,gluala,C8H13N2O5,-1
853,glyc,C3H8O3,0
854,glyc_S,C3H5O4,0
855,glygn5,C12H21O11X,0
856,gmp,C10H12N5O8P,-2
857,gp1c_hs,C99H159N7O62FULLRCO,-5
858,gp1calpha_hs,C99H159N7O62FULLRCO,-5
859,gq1b_hs,C88H143N6O54FULLRCO,-4
860,gq1balpha_hs,C88H143N6O54FULLRCO,-4
861,gsn,C10H13N5O5,0
862,gt1a_hs,C77H127N5O46FULLRCO,-3
863,gua,C5H5N5O,0
864,ha,C28H40N2O22,-2
865,ha_pre1,C14H20NO11,-1
866,hcoumarin,C9H6O3,0
867,hdca,C16H31O2,-1
868,hdcea,C16H29O2,-1
869,hestratriol,C18H24O3,0
870,hexc,C26H51O2,-1
871,his_L,C6H9N3O2,0
872,hista,C5H10N3,1
873,hom_L,C4H9NO3,0
874,hpdca,C17H33O2,-1
875,hspg,C79H113N5O101S12X,-13
876,htaxol,C47H31NO15,0
877,hxan,C5H4N4O,0
878,ile_L, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates
879,ksi,C247H393N17O213S12X,-13
880,ksi_deg1,C241H383N17O209S12X,-13
881,ksii_core2,C81H129N6O67S3X,-4
882,ksii_core4,C89H142N7O72S3X,-4
883,lac_L,C3H5O3,-1
884,lcts,C12H22O11,0
885,leuktrB4,C20H31O4,-1
886,leuktrC4,C30H45N3O9S,-2
887,leuktrD4,C25H39N2O6S,-1
888,leuktrE4,C23H36NO5S,-1
889,leuktrF4,C28H42N2O8S,-2
890,leu_L,C6H13NO2,0
891,lgnc,C24H47O2,-1
892,limnen,C10H16,0
893,lipoate,C8H14O2S2,0
894,lneldc,C18H31O2,-1
895,lnlc,C18H31O2,-1
896,lnlnca,C18H29O2,-1
897,lnlncg,C18H29O2,-1
898,lpchol_hs,C8H19NO5PFULLRCO2,0
899,mag_hs,C3H7O2FULLR2CO2,0
900,malt,C12H22O11,0
901,malttr,C18H32O16,0
902,mepi,C10H16NO3,1
903,mercplaccys,C6H10O5S2N,-1
904,n2m2nmasn,C58H96N5O40X,0
905,nac,C6H4NO2,-1
906,ncam,C6H6N2O,0
907,nifedipine,C17H18N2O6,0
908,no,17181668," 16005189)."""
909,npthl,C10H8,0
910,nrpphrsf,C8H11NO6S,0
911,nrvnc,C24H45O2,-1
912,oagd3_hs,C54H90N3O29FULLRCO,-2
913,oagt3_hs,C65H106N4O37FULLRCO,-3
914,ocdca,C18H35O2,-1
915,ocdcea, oil or olive, the oil that is predominantly composed of oleic acid (Wikipedia). Oleic acid is found to be associated with isovaleric acidemia
916,octa,C8H15O2,-1
917,omeprazole,C17H19N3O3S,0
918,onpthl,C10H8O,0
919,paf_hs,C11H23O4NPFULLRCO2,0
920,peplys,XH,0
921,perillyl,C10H16O,0
922,pheacgln,C13H16N2O4,0
923,phe_L,C9H11NO2,0
924,pheme,C34H30FeN4O4,-2
925,phyQ,C31H46O2,0
926,phyt,C20H39O2,-1
927,pnto_R, legumes, eggs
928,pro_L,C5H9NO2,0
929,prostgd2,C20H31O5,-1
930,ps_hs,C6H11NO6PFULLRCO2FULLR2CO2,-1
931,ptdca,C15H29O2,-1
932,pydam,C8H13N2O2,1
933,pydx,C8H9NO3,0
934,pydxn,C8H11NO3,0
935,rbt,C5H12O5,0
936,retfa,C20H29OFULLR2CO,0
937,retinol,C20H30O,0
938,retinol_9_cis,C20H30O,0
939,retinol_cis_11,C20H30O,0
940,retn,C20H27O2,-1
941,retnglc,C26H35O8,-1
942,rib_D,C5H10O5,0
943,s2l2fn2m2masn,C90H145N6O65X,-2
944,s2l2n2m2masn,C84H135N6O61X,-2
945,sel,O4Se,-2
946,ser_D,C3H7NO3,0
947,sl_L,C3H4O6S,-2
948,spc_hs,C23H50N2O5P,1
949,sph1p,C18H39NO5P,-1
950,sphs1p,C18H37NO5P,-1
951,strdnc,C18H27O2,-1
952,sucr,C12H22O11,0
953,tagat_D,C6H12O6,0
954,taxol,C47H31NO14,0
955,tcynt,CNS,-1
956,tdchola,C26H45NO6S,0
957,tethex3,C24H35O2,-1
958,tetpent3,C24H37O2,-1
959,tetpent6,C24H37O2,-1
960,tettet6,C24H39O2,-1
961,thm,C12H17N4OS,1
962,thmmp,C12H16N4O4PS,-1
963,thmtp,C12H16N4O10P3S,-3
964,thymd,C10H14N2O5,0
965,thyox_L,,C15H11I4NO4
966,tmndnc,C20H29O2,-1
967,tolbutamide,C12H18N2O3S,0
968,tre,C12H22O11,0
969,triodthy,C15H12I3NO4,0
970,triodthysuf,C15H11I3NO7S,-1
971,trp_L, stimulates the uptake of large neutral branched-chain amino acids (BCAAs) into muscle, increasing the ratio of tryptophan to BCAA in the bloodstream. The increased tryptophan ratio reduces competition at the large neutral amino acid transporter (which transports both BCAAs and tryptophan)
972,tststerone,C19H28O2,0
973,tststeroneglc,C25H36O8,0
974,tststerones,C19H27O5S,-1
975,tsul,O3S2,-2
976,ttdca,C14H27O2,-1
977,txa2,C20H31O5,-1
978,tymsf,C8H11NO4S,0
979,Tyr_ggn,XOH,0
980,tyr_L,C9H11NO3,0
981,ump,C9H11N2O9P,-2
982,urate,C5H4N4O3,0
983,vacc,C18H33O2,-1
984,val_L, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates
985,vitd2,C28H44O,0
986,vitd3,C27H44O,0
987,whddca,C12H23O3,-1
988,whhdca,C16H30O3,-1
989,whtststerone,C19H28O3,0
990,whttdca,C14H27O3,-1
991,xolest_hs,C27H45XCO2,0
992,xolest2_hs,C27H45FULLR2CO2,0
993,xoltri24,C27H46O3,0
994,xoltri25,C27H46O3,0
995,xoltri27,C27H46O3,0
996,xyl_D,C5H10O5,0
997,xylt,C5H12O5,0
998,f1a,C22H37N2O15X,0
999,fuc1p_L,C6H11O8P,-2
1000,gdpfuc,C16H23N5O15P2,-2
1001,n2m2masn,C50H83N4O35X,0
1002,fn2m2masn,C56H93N4O39X,0
1003,ddcaACP,C23H43N2O8PRS,-1
1004,ddca,C12H23O2,-1
1005,myrsACP,C25H47N2O8PRS,-1
1006,tdeACP,C25H45N2O8PRS,-1
1007,ttdcea,C14H25O2,-1
1008,palmACP,C27H51N2O8PRS,-1
1009,hdeACP,C27H49N2O8PRS,-1
1010,ocdcaACP,C29H55N2O8PRS,-1
1011,octeACP,C29H53N2O8PRS,-1
1012,lnlcACP,C29H51N2O8PRS,-1
1013,lneldcACP,C29H51N2O8PRS,-1
1014,ocdcyaACP,C29H51N2O8PRS,-1
1015,ocdcya,C18H31O2,-1
1016,ptdcacoa,C36H60N7O17P3S,-4
1017,hpdcacoa,C38H64N7O17P3S,-4
1018,pristcoa,C40H68N7O17P3S,-4
1019,phytcoa,C41H70N7O17P3S,-4
1020,Sfglutth,C11H16N3O7S,-1
1021,fdp,C6H10O12P2,-4
1022,f1p,C6H11O9P,-2
1023,glyald, which converts glycerol to glyceraldehyde using NADP as a cofactor. When present at sufficiently high levels, glyceraldehyde can be a cytotoxin and a mutagen. A cytotoxin is a compound that kills cells. A mutagen is a compound that causes mutations in DNA. Glyceraldehyde is a highly reactive compound that can modify and cross-link proteins. Glyceraldehyde-modified proteins appear to be cytotoxic
1024,xu1p_D,C5H9O8P,-2
1025,gcald,C2H4O2,0
1026,tag1p_D,C6H11O9P,-2
1027,f6p,C6H11O9P,-2
1028,f26bp,C6H10O12P2,-4
1029,ppp9,C34H32N4O4,-2
1030,formcoa,C22H32N7O17P3S,-4
1031,Lfmkynr,C11H12N2O4,0
1032,Lkynr,C10H12N2O3,0
1033,ggdp,C20H33O7P2,-3
1034,ttc_ggdp,C20H33O7P2,-3
1035,5forthf,C20H22N8O6,-2
1036,methf,C20H20N7O6,-1
1037,4fumacac,C8H6O6,-2
1038,acngalacglcgalgluside_hs,X,0
1039,fucgalacglc13galacglcgal14acglcgalgluside_hs,X,0
1040,fucfucgalacglc13galacglcgal14acglcgalgluside_hs,C84H145N4O50FULLRCO,0
1041,acngal14acglcgalgluside_hs,C55H95N3O30FULLRCO,-1
1042,fucfucgalacglcgal14acglcgalgluside_hs,X,0
1043,fuc132galacglcgal14acglcgalgluside_hs,C64H112N3O36FULLRCO,0
1044,m2mpdol_L,C1420H2328N20O320P20,-20
1045,m3mpdol_L,C1480H2428N20O370P20,-20
1046,m2mpdol_U,C1365H2240N20O320P20,-20
1047,m3mpdol_U,C1425H2340N20O370P20,-20
1048,m1mpdol_L,C1360H2228N20O270P20,-20
1049,m1mpdol_U,C1305H2140N20O270P20,-20
1050,ksi_pre14,C143H230N10O114S4X,-5
1051,ksi_pre17,C157H252N11O127S5X,-6
1052,ksi_pre20,C171H274N12O140S6X,-7
1053,ksi_pre23,C185H296N13O153S7X,-8
1054,ksi_pre26,C199H318N14O166S8X,-9
1055,ksi_pre29,C213H340N15O179S9X,-10
1056,ksi_pre32,C227H362N16O192S10X,-11
1057,ksi_pre35,C241H384N17O205S11X,-12
1058,ksi_pre36,C247H394N17O210S11X,-12
1059,ksii_core4_pre1,C36H60N3O25X,0
1060,ksii_core4_pre6,C69H111N6O51SX,-2
1061,ksii_core4_pre9,C83H133N7O64S2X,-3
1062,ksii_core4_pre10,C89H143N7O69S2X,-3
1063,ksii_core2_pre1,C33H53N3O23X,-1
1064,ksii_core2_pre6,C61H98N5O46SX,-2
1065,ksii_core2_pre9,C75H120N6O59S2X,-3
1066,ksii_core2_pre10,C81H130N6O64S2X,-3
1067,ksi_pre5,C101H164N7O75SX,-2
1068,ksi_pre8,C115H186N8O88S2X,-3
1069,ksi_pre11,C129H208N9O101S3X,-4
1070,l2fn2m2masn,C68H113N4O49X,0
1071,dtdpglu,C16H24N2O16P2,-2
1072,glyc3p,C3H7O6P,-2
1073,glu5sa,C5H9NO3,0
1074,1pyr5c,C5H6NO2,-1
1075,glu5p,C5H8NO7P,-2
1076,6pgl,C6H9O9P,-2
1077,gudac,C3H7N3O2,0
1078,gacpail_hs,C31H58NO14PFULLRCO2FULLR2CO2,0
1079,ksi_deg26,C110H179N7O93S4,-4
1080,ksi_deg27,C104H169N7O88S4,-4
1081,ksi_deg29,C96H157N6O80S3,-3
1082,ksi_deg30,C90H147N6O75S3,-3
1083,ksi_deg32,C82H135N5O67S2,-2
1084,ksi_deg33,C76H125N5O62S2,-2
1085,ksi_deg35,C68H113N4O54S1,-1
1086,ksi_deg36,C62H103N4O49S1,-1
1087,ksi_deg38,C54H91N3O41,0
1088,ksi_deg39,C48H81N3O36,0
1089,ksi_deg40,C40H68N2O31,0
1090,ksi_deg41,C34H58N2O26,0
1091,ksii_core2_deg2,C70H114N5O56S2X,-2
1092,ksii_core2_deg3,C58H94N5O46S2X,-2
1093,ksii_core2_deg5,C50H82N4O38SX,-1
1094,ksii_core2_deg6,C44H72N4O33SX,-1
1095,ksii_core2_deg8,C36H60N3O25X,0
1096,ksii_core2_deg9,C30H50N3O20X,0
1097,l2n2m2mn,C54H91N3O41,0
1098,ksii_core4_deg2,C78H127N6O61S2X,-2
1099,ksii_core4_deg3,C66H107N6O51S2X,-2
1100,ksi_deg5,C222H356N15O194S11,-11
1101,ksi_deg6,C210H336N15O184S11,-11
1102,ksi_deg8,C194H311N13O171S10,-10
1103,ksi_deg9,C188H301N13O166S10,-10
1104,ksi_deg11,C180H289N12O158S9,-9
1105,ksi_deg12,C174H279N12O153S9,-9
1106,ksi_deg14,C166H267N11O145S8,-8
1107,ksi_deg15,C160H257N11O140S8,-8
1108,ksi_deg17,C152H245N10O132S7,-7
1109,ksi_deg18,C146H235N10O127S7,-7
1110,ksi_deg20,C138H223N9O119S6,-6
1111,ksi_deg21,C132H213N9O114S6,-6
1112,ksi_deg23,C124H201N8O106S5,-5
1113,ksi_deg24,C118H191N8O101S5,-5
1114,gm3_hs,C41H72N2O20FULLRCO,-1
1115,gd3_hs,C52H88N3O28FULLRCO,-2
1116,gt3_hs,C63H104N4O36FULLRCO,-3
1117,gal1p,C6H11O9P,-2
1118,cs_hs_linkage,C23H36O20X,-1
1119,cs_pre,C31H49NO25X,-1
1120,cs_a_b_pre2,C37H54NO37S2X,-4
1121,cs_a_b_pre3,C45H67N2O42S2X,-4
1122,cs_c_pre2,C37H54NO37S2X,-4
1123,cs_c_pre3,C45H67N2O42S2X,-4
1124,cs_d_pre3,C37H53NO40S3X,-5
1125,cs_d_pre4,C45H66N2O45S3X,-5
1126,cs_e_pre3,C37H52NO43S4X,-6
1127,cs_e_pre4,C45H65N2O48S4X,-6
1128,galt,C6H14O6,0
1129,lxser,C11H19O9X,0
1130,l2xser,C17H29O14X,0
1131,xser,C5H9O4X,0
1132,udpg,C15H22N2O17P2,-2
1133,gar,C7H14N2O8P,-1
1134,fgam,C8H13N2O9P,-2
1135,glyclt,C2H3O3,-1
1136,lpam,C8H15NOS2,0
1137,alpam,C9H21N2OS2,1
1138,dhlam,C8H17NOS2,0
1139,lpro,S2X,0
1140,alpro,CH6NS2X,1
1141,dhlpro,H2S2X,0
1142,gdpddman,C16H21N5O15P2,-2
1143,5oxpro, which has multiple adverse effects on many organ systems. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of pyroglutamic acid are associated with at least five inborn errors of metabolism including 5-oxoprolinuria, 5-oxoprolinase deficiency
1144,ggn,C48H81O41X,0
1145,3htmelys,C9H20N2O3,0
1146,4tmeabut,C7H16NO,1
1147,glac,C6H8O6,0
1148,glcr,C6H8O8,-2
1149,glygn1,C66H111O56X,0
1150,hs_deg9,C61H87N3O76S8,-10
1151,glcur,C6H9O7,-1
1152,hs_deg10,C55H80N3O70S8,-9
1153,cs_a_deg2,C37H55NO38S2,-4
1154,cs_a_deg3,C31H48NO32S2,-3
1155,cs_c_deg2,C37H55NO38S2,-4
1156,cs_c_deg3,C31H48NO32S2,-3
1157,cs_d_deg3,C37H54NO41S3,-5
1158,cs_d_deg4,C31H47NO35S3,-4
1159,cs_e_deg3,C37H53NO44S4,-6
1160,cs_e_deg4,C31H46NO38S4,-5
1161,ha_deg1,C22H33N2O16,-1
1162,cs_b_pre4,C45H67N2O42S2X,-4
1163,hs_pre10,C79H121N5O77S4X,-5
1164,hs_pre11,C79H121N5O77S4X,-5
1165,cs_a_b_e_pre1,C31H47NO31S2X,-3
1166,udpglcur,C15H19N2O18P2,-3
1167,cs_c_d_e_pre1,C31H47NO31S2X,-3
1168,cs_d_pre2,C31H46NO34S3X,-4
1169,cs_e_pre2,C31H45NO37S4X,-5
1170,hs_pre1,C31H49NO25X,-1
1171,hs_pre2,C37H56NO31X,-2
1172,hs_pre3,C45H69N2O36X,-2
1173,hs_pre4,C51H76N2O42X,-3
1174,hs_pre5,C59H89N3O47X,-3
1175,hs_pre6,C65H96N3O53X,-4
1176,hs_pre7,C73H109N4O58X,-4
1177,hs_pre8,C79H116N4O64X,-5
1178,hs_deg3,C81H117N5O97S10,-12
1179,hs_deg4,C73H104N4O92S10,-12
1180,hs_deg8,C69H100N4O81S8,-10
1181,hs_deg14,C57H84N3O62S5,-7
1182,hs_deg15,C49H71N2O57S5,-7
1183,hs_deg20,C45H68N2O43S2,-4
1184,hs_deg21,C37H55NO38S2,-4
1185,hs_deg24,C31H50NO26,-1
1186,hs_deg25,C23H37O21,-1
1187,hs_pre9,C87H129N5O69X,-5
1188,naglc2p_L,C1160H1898N10O120P20,-20
1189,naglc2p_U,C1105H1810N10O120P20,-20
1190,dxtrn,C48H81O41X,0
1191,glygn3,C42H71O36X,0
1192,guln,C6H11O7,-1
1193,gullac,C6H10O6,0
1194,glucys,C8H13N2O5S,-1
1195,forglu,C6H8N2O4,-2
1196,pram,C5H11NO7P,-1
1197,glyc_R,C3H5O4,-1
1198,lgt_S,C13H20N3O8S,-1
1199,xmp,C10H11N4O9P,-2
1200,6pgc,C6H10O10P,-3
1201,ru5p_D,C5H9O8P,-2
1202,g3pc,C8H20NO6P,0
1203,em2emgacpail_prot_hs,C53H100N3O35P3FULLRCO2FULLR2CO2X,0
1204,gpi_prot_hs,C55H106N4O38P4FULLRCO2FULLR2CO2X,0
1205,mgacpail_hs,C37H68NO19PFULLRCO2FULLR2CO2,0
1206,ahdt,C9H12N5O13P3,-4
1207,xan,C5H4N4O2,0
1208,glcur1p,C6H8O10P,-3
1209,emgacpail_hs,C39H74N2O22P2FULLRCO2FULLR2CO2,0
1210,m2gacpail_hs,C43H78NO24PFULLRCO2FULLR2CO2,0
1211,m3gacpail_hs,C49H88NO29PFULLRCO2FULLR2CO2,0
1212,em3gacpail_hs,C51H94N2O32P2FULLRCO2FULLR2CO2,0
1213,emem2gacpail_hs,C53H100N3O35P3FULLRCO2FULLR2CO2,0
1214,em2emgacpail_hs,C53H100N3O35P3FULLRCO2FULLR2CO2,0
1215,m3emgacpail_hs,C57H104N2O37P2FULLRCO2FULLR2CO2,0
1216,gpi_hs,C55H106N4O38P4FULLRCO2FULLR2CO2,0
1217,mem2emgacpail_hs,C59H110N3O40P3FULLRCO2FULLR2CO2,0
1218,pre_prot,XY,0
1219,hexccrn,C33H65NO4,0
1220,4mlacac,C8H6O6,-2
1221,urcan,C6H5N2O2,-1
1222,im4act,C5H6N2O,0
1223,ppbng,C10H13N2O4,-1
1224,hmbil,C40H38N4O17,-8
1225,hmgcoa,C27H39N7O20P3S,-5
1226,mev_R,C6H11O4,-1
1227,phyt2ohcoa,C41H70N7O18P3S,-4
1228,hpdcacrn,C24H47NO4,0
