PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
eUidA	3HIBUP_S_GLCAASEe	3-hydroxy S-ibuprofen beta-glucuronidase  extracellular	3hibupglu_S[e] + h2o[e] -> 3hibup_S[e] + glcur[e] + h[e]
eUidA	3OH_CBZ_GLC_GLCAASEe	3-Hydroxy Carbamazepine Glucuronide beta-glucuronidase  extracellular	3oh_cbz_glc[e] + h2o[e] -> 3oh_cbz[e] + glcur[e]
eUidA	3OH_DLOR_GLC_GLCAASEe	3-Hydroxydesloratadine Glucuronide beta-glucuronidase  extracellular	3oh_dlor_glc[e] + h2o[e] -> 3oh_dlor[e] + glcur[e]
eUidA	3OH_MDEA_GLC_GLCAASEe	3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15) beta-glucuronidase  extracellular	3oh_mdea_glc[e] + h2o[e] -> 3oh_mdea[e] + glcur[e]
eUidA	3OH_MXN_GLC_GLCAASEe	3-Hydroxymorphinan O-Glucuronide beta-glucuronidase  extracellular	3oh_mxn_glc[e] + h2o[e] -> 3oh_mxn[e] + glcur[e]
eUidA	4DH_TPNO_1GLC_GLCAASEe	4-Dehydroxytempol 1-O-Glucuronide beta-glucuronidase  extracellular	4dh_tpno_1glc[e] + h2o[e] -> 4dh_tpno[e] + glcur[e] + h[e]
eUidA	4HMDGLUC_GLCAASEe	4-OH-midazolam-glucuronide beta-glucuronidase  extracellular	4hmdgluc[e] + h2o[e] -> 4ohmdz[e] + glcur[e]
eUidA	4OH_DCF_GLC_GLCAASEe	4-Hydroxydiclofenac Glucuronide beta-glucuronidase  extracellular	4oh_dcf_glc[e] + h2o[e] -> 4oh_dcf[e] + glcur[e] + h[e]
eUidA	4OH_KP_GLC_GLCAASEe	4-Hydroxybenzyl Ketoprofen Glucuronide beta-glucuronidase  extracellular	4oh_kp_glc[e] + h2o[e] -> 4oh_kp[e] + glcur[e] + h[e]
eUidA	4OH_LEVOLE_GLC_GLCAASEe	4-Hydroxy Levamisole Glucuronide beta-glucuronidase  extracellular	4oh_levole_glc[e] + h2o[e] -> 4oh_levole[e] + glcur[e]
eUidA	4OH_METH_GLC_GLCAASEe	4-Hydroxymethamphetamine Glucuronide beta-glucuronidase  extracellular	4oh_meth_glc[e] + h2o[e] -> 4oh_meth[e] + glcur[e] + h[e]
eUidA	4OH_PROPL_GLC_GLCAASEe	4-Hydroxypropranolol Glucuronide beta-glucuronidase  extracellular	4oh_propl_glc[e] + h2o[e] -> 4oh_propl[e] + glcur[e]
eUidA	4OH_TRZ_GLC_GLCAASEe	4-Hydroxy Triazolam Glucuronide beta-glucuronidase  extracellular	4oh_trz_glc[e] + h2o[e] -> 4oh_trz[e] + glcur[e]
eUidA	4OH_VCZ_GLC_GLCAASEe	4-Hydroxyvoriconazole Glucuronide beta-glucuronidase  extracellular	4oh_vcz_glc[e] + h2o[e] -> 4oh_vcz[e] + glcur[e] + h[e]
eUidA	5OH_SULFP_GLC_GLCAASEe	5-Hydroxy-Sulfapyridine-O-Glucuronide beta-glucuronidase  extracellular	5oh_sulfp_glc[e] + h2o[e] -> 5oh_sulfp[e] + glcur[e] + h[e]
eUidA	5OHFVSGLU_GLCAASEe	5-hydroxy-fluvastatin-glucuronide beta-glucuronidase  extracellular	5ohfvsglu[e] + h2o[e] -> 5ohfvs[e] + glcur[e]
eUidA	6BHGLZGLC_GLCAASEe	6-beta-OH-gliclazide-glucuronide beta-glucuronidase  extracellular	6bhglzglc[e] + h2o[e] -> 6bhglz[e] + glcur[e]
eUidA	6OHFVSGLU_GLCAASEe	6-hydroxy-fluvastatin-glucuronide beta-glucuronidase  extracellular	6ohfvsglu[e] + h2o[e] -> 6ohfvs[e] + glcur[e]
eUidA	7BHGLZ_GLCAASEe	7-beta-OH-gliclazide beta-glucuronidase  extracellular	7bhglzglc[e] + h2o[e] -> 7bhglz[e] + glcur[e]
eUidA	7OH_EFV_GLC_GLCAASEe	7-hydroxy-Efavirenz Glucuronide beta-glucuronidase  extracellular	7oh_efv_glc[e] + h2o[e] -> 7oh_efv[e] + glcur[e] + h[e]
eUidA	814DIOH_EFV_GLC_GLCAASEe	8 14-Dihydroxyefavirenz Glucuronide beta-glucuronidase  extracellular	814dioh_efv_glc[e] + h2o[e] -> 814dioh_efv[e] + glcur[e] + h[e]
eUidA	8OH_EFV_GLC_GLCAASEe	8-hydroxy-Efavirenz Glucuronide beta-glucuronidase  extracellular	8oh_efv_glc[e] + h2o[e] -> 8oh_efv[e] + glcur[e] + h[e]
eUidA	AC_AMN_B_GLY_GLC_GLCAASEe	Acetyl 4-Aminobenzoylglycine Glucuronide beta-glucuronidase  extracellular	ac_amn_b_gly_glc[e] + h2o[e] -> ac_amn_b_gly[e] + glcur[e]
eUidA	ACMP_GLC_GLCAASEe	Acetaminophen Glucuronide beta-glucuronidase  extracellular	acmp_glc[e] + h2o[e] -> acmp[e] + glcur[e]
eUidA	ACMPGLU_GLCAASEe	Acetaminophen glucuronide beta-glucuronidase  extracellular	acmpglu[e] + h2o[e] -> acmp[e] + glcur[e]
eUidA	ALPZ_4OH_GLC_GLCAASEe	4-Hydroxyalprazolam Glucuronide beta-glucuronidase  extracellular	alpz_4oh_glc[e] + h2o[e] -> alpz_4oh[e] + glcur[e]
eUidA	ALPZ_AOH_GLC_GLCAASEe	Alpha-Hydroxyalprazolam Glucuronide beta-glucuronidase  extracellular	alpz_aoh_glc[e] + h2o[e] -> alpz_aoh[e] + glcur[e]
eUidA	AM14_GLC_GLCAASEe	Desmethylalfentanil Glucuronide (AM14 Glucuronide) beta-glucuronidase  extracellular	am14_glc[e] + h2o[e] -> am14[e] + glcur[e] + h[e]
eUidA	AM1CGLC_GLCAASEe	AM1c-glucuronide (cyclosporine) beta-glucuronidase  extracellular	am1cglc[e] + h2o[e] -> am1ccs[e] + glcur[e]
eUidA	AM5_GLC_GLCAASEe	N-(4-Hydroxyphenyl)Propanamide Glucuronide (AM5 Glucuronide) beta-glucuronidase  extracellular	am5_glc[e] + h2o[e] -> am5[e] + glcur[e] + h[e]
eUidA	AM6_GLC_GLCAASEe	Desmethylnoralfentanil Glucuronide (AM6 Glucuronide) beta-glucuronidase  extracellular	am6_glc[e] + h2o[e] -> am6[e] + glcur[e] + h[e]
eUidA	AMIO_C_GLC_GLCAASEe	Carboxylamiodarone Glucuronide (M19) beta-glucuronidase  extracellular	amio_c_glc[e] + h2o[e] -> amio_c[e] + glcur[e] + h[e]
eUidA	AMIO_GLC_GLCAASEe	Amiodarone Glucuronide (M16) beta-glucuronidase  extracellular	amio_glc[e] + h2o[e] -> amio[e] + glcur[e] + h[e]
eUidA	AMN_B_GLY_GLC_GLCAASEe	4-Aminobenzoylglycine Glucuronide beta-glucuronidase  extracellular	amn_b_gly_glc[e] + h2o[e] -> amn_b_gly[e] + glcur[e]
eUidA	AMNTD_M6_GLC_GLCAASEe	Amantadine M6 Glucuronide beta-glucuronidase  extracellular	amntd_m6_glc[e] + h2o[e] -> amntd_m6[e] + glcur[e]
eUidA	ATVACYLGLUC_GLCAASEe	atorvastatin-acyl-glucuronide / G2 beta-glucuronidase  extracellular	atvacylgluc[e] -> atvlac[e] + glcur[e]
eUidA	ATVETHGLUC_GLCAASEe	atorvastatin-ether-glucuronide -G1 beta-glucuronidase  extracellular	atvethgluc[e] + 2 h2o[e] -> atvacid[e] + 2 glcur[e]
eUidA	ATVLACGLUC_GLCAASEe	atorvastatin-lactone-ether-glucuronide / G3 beta-glucuronidase  extracellular	atvlacgluc[e] + h2o[e] -> atvlac[e] + glcur[e]
eUidA	BHPM_GLC_GLCAASEe	Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide beta-glucuronidase  extracellular	bhpm_glc[e] + h2o[e] -> bhpm[e] + glcur[e] + h[e]
eUidA	BILR_M10_GLCAASEe	BILR M10 beta-glucuronidase  extracellular	bilr_M10[e] + h2o[e] -> bilr_355[e] + glcur[e] + h[e]
eUidA	BILR_M12_GLCAASEe	BILR M12 beta-glucuronidase  extracellular	bilr_M12[e] + h2o[e] -> bilr_M7[e] + glcur[e] + h[e]
eUidA	BILR_M15_GLCAASEe	BILR M15 beta-glucuronidase  extracellular	bilr_M15[e] + h2o[e] -> bilr_M14[e] + glcur[e] + h[e]
eUidA	BILR_M16_GLCAASEe	BILR M16 beta-glucuronidase  extracellular	bilr_M16[e] + h2o[e] -> bilr_355[e] + glcur[e] + h[e]
eUidA	BSN_GLC_GLCAASEe	Bosentan Glucuronide beta-glucuronidase  extracellular	bsn_glc[e] + h2o[e] -> bsn[e] + glcur[e] + h[e]
eUidA	BZ_GLC_GLCAASEe	Benzoic acid glucuronide beta-glucuronidase  extracellular	bz_glc[e] + h2o[e] -> bz[e] + glcur[e] + h[e]
eUidA	CARIBUP_S_GLCAASEe	S-carboxy ibuprofen beta-glucuronidase  extracellular	caribupglu_S[e] + h2o[e] -> caribup_s[e] + glcur[e] + h[e]
eUidA	CBZ_GLC_GLCAASEe	Carbamazepine Glucuronide beta-glucuronidase  extracellular	cbz_glc[e] + h2o[e] -> cbz[e] + glcur[e]
eUidA	CD6168_GLC_GLCAASEe	CD6168 Glucuronide beta-glucuronidase  extracellular	cd6168_glc[e] + h2o[e] -> cd6168[e] + glcur[e] + 2 h[e]
eUidA	CHLPHNCL_GLC_GLCAASEe	Chloramphenicol 3-Glucuronide beta-glucuronidase  extracellular	chlphncl_glc[e] + h2o[e] -> chlphncl[e] + glcur[e]
eUidA	CLCXB_C_GLC_GLCAASEe	Carboxycelecoxib Glucuronide beta-glucuronidase  extracellular	clcxb_c_glc[e] + h2o[e] -> clcxb_c[e] + glcur[e] + h[e]
eUidA	CLCXB_GLC_GLCAASEe	Celecoxib Glucuronide beta-glucuronidase  extracellular	clcxb_glc[e] + h2o[e] -> clcxb[e] + glcur[e]
eUidA	CLOBI_GLC_GLCAASEe	Clopidogrel Acyl-Beta-D-Glucuronide beta-glucuronidase  extracellular	clobi_glc[e] + h2o[e] -> clobi_c[e] + glcur[e]
eUidA	CVM1GLUC_GLCAASEe	cerivastatin-M1-glucuronide beta-glucuronidase  extracellular	cvm1gluc[e] + h2o[e] -> crvsm1[e] + glcur[e]
eUidA	CVM23GLUC_GLCAASEe	cerivastatin-M23-glucuronide beta-glucuronidase  extracellular	cvm23gluc[e] + h2o[e] -> crvsm23[e] + glcur[e]
eUidA	DAA_GLC_GLCAASEe	Deaminated Amiodarone Glucuronide (M14) beta-glucuronidase  extracellular	daa_glc[e] + h2o[e] -> daa[e] + glcur[e]
eUidA	DCF_GLC_GLCAASEe	Diclofenac Acyl Glucuronide beta-glucuronidase  extracellular	dcf_glc[e] + h2o[e] -> dcf[e] + glcur[e] + h[e]
eUidA	DDEA_GLC_GLCAASEe	Di-N-Desethylamiodarone Glucuronide Conjugate (DDEA_Glc) beta-glucuronidase  extracellular	ddea_glc[e] + h2o[e] -> ddea[e] + glcur[e]
eUidA	DES_ASTZL_GLC_GLCAASEe	Desmethylastemozole Glucuronide beta-glucuronidase  extracellular	des_astzl_glc[e] + h2o[e] -> des_astzl[e] + glcur[e]
eUidA	DIGOXIN_GLC_GLCAASEe	Digoxin 16-Glucuronide beta-glucuronidase  extracellular	digoxin_glc[e] + h2o[e] -> digoxin[e] + glcur[e] + h[e]
eUidA	DLB_GLC_GLCAASEe	Deleobuvir Glucuronide beta-glucuronidase  extracellular	dlb_glc[e] + h2o[e] -> dlb[e] + glcur[e] + 2 h[e]
eUidA	DNPZ_M11_GLCAASEe	Donepezil Metabolite M11 beta-glucuronidase  extracellular	dnpz_m11[e] + h2o[e] -> dnpz_6des[e] + glcur[e]
eUidA	DNPZ_M12_GLCAASEe	Donepezil Metabolite M12 beta-glucuronidase  extracellular	dnpz_m12[e] + h2o[e] -> dnpz_5des[e] + glcur[e]
eUidA	DNPZ_M13_GLCAASEe	Donepezil Metabolite M13 beta-glucuronidase  extracellular	dnpz_m13[e] + h2o[e] -> dnpz_m9[e] + glcur[e]
eUidA	DNPZ_M14_GLCAASEe	Donepezil Metabolite M14 beta-glucuronidase  extracellular	dnpz_m14[e] + h2o[e] -> dnpz_m9[e] + glcur[e]
eUidA	DOH_ETR_GLC_GLCAASEe	Etravarine Dihydroxylated Glucuronide beta-glucuronidase  extracellular	doh_etr_glc[e] + h2o[e] -> doh_etr[e] + glcur[e] + h[e]
eUidA	DOH_VCZ_GLC_GLCAASEe	Dihydroxyvoriconazole Glucuronide beta-glucuronidase  extracellular	doh_vcz_glc[e] + h2o[e] -> doh_vcz[e] + glcur[e] + h[e]
eUidA	DXO_GLC_GLCAASEe	Dextrorphan O-Glucuronide beta-glucuronidase  extracellular	dxo_glc[e] + h2o[e] -> dxo[e] + glcur[e] + h[e]
eUidA	EFV_GLC_GLCAASEe	Efavirenz Glucuronide beta-glucuronidase  extracellular	efv_glc[e] + h2o[e] -> efv[e] + glcur[e] + h[e]
eUidA	ELTR_GLC_GLCAASEe	Eltrombopag Glucuronide (M2) beta-glucuronidase  extracellular	eltr_glc[e] + h2o[e] -> eltr[e] + glcur[e] + h[e]
eUidA	ELTR_M3_GLCAASEe	Eltrombopag M3 (Glucuronide Conjugate) beta-glucuronidase  extracellular	eltr_m3[e] 2 ahcys[c] + 2 nadh[c] + 4 h[c] -> sb_611855[e] + glcur[e] + 2 amet[c] + 2 nad[c]
eUidA	ELTR_M4_GLCAASEe	Eltrombopag M4 (Glucuronide Conjugate) beta-glucuronidase  extracellular	eltr_m4[e] + h2o[e] -> sb_y[e] + glcur[e] + h[e]
eUidA	EZTMB_GLC_GLCAASEe	Ezetimibe Glucuronide beta-glucuronidase  extracellular	eztmb_glc[e] + h2o[e] -> eztmb[e] + glcur[e]
eUidA	FVSGLUC_GLCAASEe	fluvstatin-glucuronide beta-glucuronidase  extracellular	fvsgluc[e] + h2o[e] -> fvs[e] + glcur[e]
eUidA	FVSTETGLU_GLCAASEe	des-isopropyl-dihydro-fluvastatin-tetranor-glucuronide beta-glucuronidase  extracellular	fvstetglu[e] + h2o[e] -> fvstet[e] + glcur[e]
eUidA	GLC3MEACP_GLCAASEe	glucuronide-conjugate of 3-methoxy-acetaminophen beta-glucuronidase  extracellular	glc3meacp[e] + h2o[e] + amet[c]  -> 3meacmp[e] + glcur[e] + h[e] + ahcys[c]
eUidA	GLTMN_GLC_GLCAASEe	Galantamine Glucuronide beta-glucuronidase  extracellular	gltmn_glc[e] + h2o[e] -> gltmn[e] + glcur[e]
eUidA	GMFL_GLC_GLCAASEe	Gemfibrozil 1-O-Beta-Glucuronide beta-glucuronidase  extracellular	gmfl_glc[e] + h2o[e] -> gmfl[e] + glcur[e] + h[e]
eUidA	GMFL_MI_GLC_GLCAASEe	M1 Glucuronide beta-glucuronidase  extracellular	gmfl_mI_glc[e] + h2o[e] -> gmfl_mI[e] + glcur[e] + h[e]
eUidA	GMFL_MII_GLC_GLCAASEe	M2 Glucuronide beta-glucuronidase  extracellular	gmfl_mII_glc[e] + h2o[e] -> gmfl_mII[e] + glcur[e] + h[e]
eUidA	GMFL_MIII_GLC_GLCAASEe	M3 Glucuronide beta-glucuronidase  extracellular	gmfl_mIII_glc[e] + h2o[e] -> gmfl_mIII[e] + glcur[e] + h[e]
eUidA	GTACMP_GLCAASEe	glucuronide-thiomethyl-acetaminophen conjugate beta-glucuronidase  extracellular	gtacmp[e] + h2o[e] -> tmacmp[e] + glcur[e]
eUidA	HST_3_GLC_GLCAASEe	Hesperetin 3-O-Glucuronide (Aglycone Of Hesperidin) beta-glucuronidase  extracellular	hst_3_glc[e] + h2o[e] -> hst[e] + glcur[e]
eUidA	HST_37_DIGLC_GLCAASEe	Hesperetin 3 7-Diglucuronide beta-glucuronidase  extracellular	hst_37_diglc[e] + h2o[e] -> hst_7_glc[e] + glcur[e]
eUidA	HST_37_DIGLC_GLCAASEe2	Hesperetin 3 7-Diglucuronide beta-glucuronidase  extracellular	hst_37_diglc[e] + h2o[e] -> hst_3_glc[e] + glcur[e]
eUidA	HST_3GLC_7S_GLCAASEe	Hesperetin 3-O-Glucuronide 7-Sulfate beta-glucuronidase  extracellular	hst_3glc_7s[e] + h2o[e] -> hst_7_s[e] + glcur[e] + h[e]
eUidA	HST_7_GLC_GLCAASEe	Hesperetin 7-O-Glucuronide (Aglycone Of Hesperidin) beta-glucuronidase  extracellular	hst_7_glc[e] + h2o[e] -> hst[e] + glcur[e]
eUidA	HST_7GLC_3S_GLCAASEe	Hesperetin 7-O-Glucuronide 3-Sulfate beta-glucuronidase  extracellular	hst_7glc_3s[e] + h2o[e] -> hst_3_s[e] + glcur[e] + h[e]
eUidA	IBUPGLUC_GLCAASEe	ibuprofen acyl glucuronide beta-glucuronidase  extracellular	ibupgluc[e] + h2o[e] -> ibup_S[e] + glcur[e] + h[e]
eUidA	IMN_GLC_GLCAASEe	Indomethacin Glucuronide beta-glucuronidase  extracellular	imn_glc[e] + h2o[e] -> imn[e] + glcur[e] + h[e]
eUidA	INV_M1_GLCAASEe	Indanyl Glucuronide M1 beta-glucuronidase  extracellular	inv_m1[e] + h2o[e] -> inv[e] + glcur[e] + h[e]
eUidA	ISOSORBIDE_5MN_GLC_GLCAASEe	Isosorbide 5-Mononitrate 2-Beta-D-Glucuronide beta-glucuronidase  extracellular	isosorbide_5mn_glc[e] + h2o[e] -> isosorbide_5mn[e] + glcur[e]
eUidA	KPROFEN_GLC_GLCAASEe	Ketoprofen Glucuronide beta-glucuronidase  extracellular	kprofen_glc[e] + h2o[e] -> kprofen[e] + glcur[e] + h[e]
eUidA	LSTN1GLUC_GLCAASEe	Losartan-N1-glucuronide beta-glucuronidase  extracellular	lstn1gluc[e] + h2o[e] -> lstn[e] + glcur[e] + h[e]
eUidA	LSTNM4_GLCAASEe	Losartan-M4 (glucuronide derivative) beta-glucuronidase  extracellular	lstnm4[e] + h2o[e] -> lst4exp[e] + glcur[e] + h[e]
eUidA	LSTNM7_GLCAASEe	Losartan-N2-glucuronide / Losartan-M7 beta-glucuronidase  extracellular	lstnm7[e] + h2o[e] -> lstn[e] + glcur[e] + h[e]
eUidA	MDZ_GLC_GLCAASEe	Midazolam Glucuronide beta-glucuronidase  extracellular	mdz_glc[e] + h2o[e] -> mdz[e] + glcur[e]
eUidA	MDZGLC_GLCAASEe	Midazolam-glucuronide beta-glucuronidase  extracellular	mdzglc[e] + h2o[e] -> mdz[e] + glcur[e]
eUidA	MISO_GLC_GLCAASEe	Misonidazole Glucuronide beta-glucuronidase  extracellular	miso_glc[e] + h2o[e] -> miso[e] + glcur[e]
eUidA	MRPHN_3GLC_GLCAASEe	Morphine 3-Glucuronide beta-glucuronidase  extracellular	mrphn_3glc[e] + h2o[e] -> mrphn[e] + glcur[e] + h[e]
eUidA	MRPHN_6GLC_GLCAASEe	Morphine 6-Glucuronide beta-glucuronidase  extracellular	mrphn_6glc[e] + h2o[e] -> mrphn[e] + glcur[e] + h[e]
eUidA	MTZ_GLC_GLCAASEe	Metronidazole Beta-D-Glucuronide beta-glucuronidase  extracellular	mtz_glc[e] + h2o[e] -> mtz[e] + glcur[e]
eUidA	N_OH_PHTN_GLC_GLCAASEe	N-Hydroxylated Phenacetin Glucuronide beta-glucuronidase  extracellular	N_oh_phtn_glc[e] + h2o[e] -> N_oh_phtn[e] + glcur[e]
eUidA	NSLDP_M5_GLC_GLCAASEe	Nisoldipine (M5) Glucuronide beta-glucuronidase  extracellular	nsldp_m5_glc[e] + h2o[e] -> nsldp_m5[e] + glcur[e] + h[e]
eUidA	NVERP_GLC_GLCAASEe	Norverapamil Glucuronide beta-glucuronidase  extracellular	nverp_glc[e] + h2o[e] + h[e] -> nverp[e] + glcur[e]
eUidA	ODSM_EGLTMN_GLC_GLCAASEe	O-Desmethylepigalantamine Glucuronide beta-glucuronidase  extracellular	odsm_egltmn_glc[e] + h2o[e] -> odsm_egltmn[e] + glcur[e]
eUidA	ODSM_GLTMN_GLC_GLCAASEe	O-Desmethylgalantamine Glucuronide beta-glucuronidase  extracellular	odsm_gltmn_glc[e] + h2o[e] -> odsm_gltmn[e] + glcur[e]
eUidA	OH_ETR_GLC_GLCAASEe	Etravarine Monohydroxylated Glucuronide (M7) beta-glucuronidase  extracellular	oh_etr_glc[e] + h2o[e] -> oh_etr[e] + glcur[e] + h[e]
eUidA	OH_PBL_GLC_GLCAASEe	Phenobarbital O-Glucuronide beta-glucuronidase  extracellular	oh_pbl_glc[e] + h2o[e] -> oh_pbl[e] + glcur[e]
eUidA	PHPPA_GLC_GLCAASEe	3-(3-hydroxyphenyl)propionate glucuronide beta-glucuronidase  extracellular	phppa_glc[e] + h2o[e] -> phppa[e] + glcur[e]
eUidA	PHTN_GLC_GLCAASEe	Phenacetin Glucuronide beta-glucuronidase  extracellular	phtn_glc[e] + h2o[e] -> N_oh_phtn[e] + glcur[e]
eUidA	PROB_GLC_GLCAASEe	Probenecid Acyl Beta-D-Glucuronide beta-glucuronidase  extracellular	prob_glc[e] + h2o[e] -> prob[e] + glcur[e] + h[e]
eUidA	PRONT_GLC_GLCAASEe	Prontosil Glucuronide beta-glucuronidase  extracellular	pront_glc[e] + h2o[e] -> pront[e] + glcur[e]
eUidA	PROPL_GLC_GLCAASEe	Propranolol Glucuronide beta-glucuronidase  extracellular	propl_glc[e] + h2o[e] -> propl[e] + glcur[e]
eUidA	PRX_MI_GLC_GLCAASEe	Paroxetine Mi Glucuronide beta-glucuronidase  extracellular	prx_mI_glc[e] + h2o[e] -> prx_mI[e] + glcur[e] + h[e]
eUidA	PRX_MII_GLC_GLCAASEe	Paroxetine Mii Glucuronide beta-glucuronidase  extracellular	prx_mII_glc[e] + h2o[e] -> prx_mII[e] + glcur[e] + h[e]
eUidA	PTVSTGLUC_GLCAASEe	pitavastatin-glucuronide beta-glucuronidase  extracellular	ptvstgluc[e] + 2 h2o[e] -> ptvst[e] + 2 glcur[e] + 2 h[e]
eUidA	PVSGLUC_GLCAASEe	pravastatin glucuronide beta-glucuronidase  extracellular	pvsgluc[e] + h2o[e] -> pvs[e] + glcur[e]
eUidA	R_6OH_WARF_GLC_GLCAASEe	R-6-Hydroxywarfarin Glucuronate beta-glucuronidase  extracellular	R_6oh_warf_glc[e] + h2o[e] -> R_6oh_warf[e] + glcur[e] + 2 h[e]
eUidA	R_7OH_WARF_GLC_GLCAASEe	R-7-Hydroxy Warfarin Glucuronate beta-glucuronidase  extracellular	R_7oh_warf_glc[e] + h2o[e] -> R_7oh_warf[e] + glcur[e] + 2 h[e]
eUidA	R_8OH_WARF_GLC_GLCAASEe	R-8-Hydroxywarfarin Glucuronate beta-glucuronidase  extracellular	R_8oh_warf_glc[e] + h2o[e] -> R_8oh_warf[e] + glcur[e] + 2 h[e]
eUidA	R406_GLC_GLCAASEe	Lactam N-Glucuronide Of R406 beta-glucuronidase  extracellular	r406_glc[e] + h2o[e] -> r406[e] + glcur[e] + h[e]
eUidA	R529_GLC_GLCAASEe	Glucuronide R529 beta-glucuronidase  extracellular	r529_glc[e] + h2o[e] -> r529[e] + glcur[e] + h[e]
eUidA	REP_GLC_GLCAASEe	Repaglinide Acyl-Beta-D-Glucuronide beta-glucuronidase  extracellular	rep_glc[e] + h2o[e] -> rep[e] + glcur[e] + h[e]
eUidA	RPN_104557_CB_GLC_GLCAASEe	SKF 104557 Carbamyl Glucuronide beta-glucuronidase  extracellular	rpn_104557_cb_glc[e] + h2o[e] -> rpn_104557[e] + glcur[e] + co2[e] + h[e]
eUidA	RPN_96990_GLC_GLCAASEe	SKF 96990 Glucuronide beta-glucuronidase  extracellular	rpn_96990_glc[e] + h2o[e] -> rpn_96990[e] + glcur[e]
eUidA	RPN_OH_GLC_GLCAASEe	SKF 89124 Glucuronide beta-glucuronidase  extracellular	rpn_oh_glc[e] + h2o[e] -> rpn_oh[e] + glcur[e]
eUidA	RSVGLUC_GLCAASEe	rosuvastatin-glucuronide beta-glucuronidase  extracellular	rsvgluc[e] + 2 h2o[e] -> rsv[e] + 2 glcur[e] + 2 h[e]
eUidA	S_4OH_WARF_GLC_GLCAASEe	S-4-Hydroxywarfarin Glucuronate beta-glucuronidase  extracellular	S_4oh_warf_glc[e] + h2o[e] -> S_4oh_warf[e] + glcur[e] + 2 h[e]
eUidA	S_6OH_WARF_GLC_GLCAASEe	S-6-Hydroxywarfarin Glucuronate beta-glucuronidase  extracellular	S_6oh_warf_glc[e] + h2o[e] -> S_6oh_warf[e] + glcur[e] + 2 h[e]
eUidA	SCH_488128_GLCAASEe	SCH 488128 beta-glucuronidase  extracellular	sch_488128[e] + h2o[e] -> eztmb[e] + glcur[e]
eUidA	SCH_57871_GLC_GLCAASEe	SCH 57871 Glucuronide beta-glucuronidase  extracellular	sch_57871_glc[e] + h2o[e] -> sch_57871[e] + glcur[e]
eUidA	SFND_1689_GLC_GLCAASEe	Nw 1689 Acyl Glucuronide beta-glucuronidase  extracellular	sfnd_1689_glc[e] + h2o[e] -> sfnd_1689[e] + glcur[e] + h[e]
eUidA	SFTZ_GLC_GLCAASEe	Sulfathiazole Glucuronide beta-glucuronidase  extracellular	sftz_glc[e] + h2o[e] -> sftz[e] + glcur[e]
eUidA	SIMVGLUC_GLCAASEe	simvastatin-acyl-glucuronide beta-glucuronidase  extracellular	simvgluc[e] + h2o[e] -> smvacid[e] + glcur[e] + h[e]
eUidA	SMAP_GLC_GLCAASEe	2-Sulfamoylacetylphenol Glucuronide beta-glucuronidase  extracellular	smap_glc[e] + h2o[e] -> smap[e] + glcur[e] + h[e]
eUidA	SN38G_GLCAASEe	SN38 glucuronide beta-glucuronidase  extracellular	sn38g[e] + h2o[e] -> sn38[e] + glcur[e] + h[e]
eUidA	SPZ_GLC_GLCAASEe	Sulfinpyrazone Glucuronide beta-glucuronidase  extracellular	spz_glc[e] + h2o[e] -> spz[e] + glcur[e]
eUidA	SPZ_SFN_GLC_GLCAASEe	Sulfinpyrazone Sulfone Glucuronide beta-glucuronidase  extracellular	spz_sfn_glc[e] + h2o[e] -> spz_sfn[e] + glcur[e]
eUidA	STG_M3_GLCAASEe	Sitagliptin M3 (Ether Glucuronide Conjugate Of A Hydroxylated Derivative) beta-glucuronidase  extracellular	stg_m3[e] + h2o[e] -> stg[e] + glcur[e]
eUidA	STG_M4_GLCAASEe	Sitagliptin M4 (N-Carbomyl Glucuronide Conjugate) beta-glucuronidase  extracellular	stg_m4[e] + h2o[e] + h[e] -> stg[e] + glcur[e]  + co2[e]
eUidA	TAT_GLCAASEe	N-(2-Methyl-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tat[e] + h2o[e] -> tlf_a[e] + glcur[e] + h[e]
eUidA	TGZ_GLC_GLCAASEe	Troglitazone Glucuronide beta-glucuronidase  extracellular	tgz_glc[e] + h2o[e] -> tgz[e] + glcur[e]
eUidA	TLF_A_M1_GLCAASEe	N-(2-Hydroxymethyl-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m1[e] + h2o[e] -> tlf_a_2[e] + glcur[e] + h[e]
eUidA	TLF_A_M2_GLCAASEe	N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m2[e] + h2o[e] -> tlf_a_2a[e] + glcur[e] + h[e]
eUidA	TLF_A_M3_GLCAASEe	N-(2-Formyl-3-Chlorophenyl) Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m3[e] + h2o[e] -> tlf_a_3[e] + glcur[e] + h[e]
eUidA	TLF_A_M4_GLCAASEe	N-(2-Methyl-3- Chloro-4-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m4[e] + h2o[e] -> tlf_a_1a[e] + glcur[e] + h[e]
