GeneID	GeneName	log2FC	PValue	
HGNC:20800	SLC35D1	-0.215348048	0.501248281	
HGNC:9035	PLA2G4A	0.031434794	0.9821217	
HGNC:4095	GADD45A	0.606996191	0.36872668	
HGNC:30238	WLS	-1.651413425	0.011961353	
HGNC:9347	PRDM2	-1.006030196	0.006781784	
HGNC:9998	RGS2	-0.670211582	0.49690913	
HGNC:11313	TROVE2	0.046576986	0.906594176	
 	AMPD1	-6.457791566	0.002908755	
HGNC:19678	UCHL5	0.867091049	0.019690749	
 	BCAS2	0.322003682	0.406522604	
HGNC:10782	SRSF11	0.021980934	0.941741884	
HGNC:2501	CTH	-0.885708692	0.091547358	
 	AGMAT	2.018348114	0.00205901	
HGNC:24956	OLFML3	-0.169335592	0.858205166	
HGNC:19661	TNNI3K	5.265422665	0.019031656	
HGNC:16980	CFHR3	-2.069109159	0.050874404	
HGNC:29131	PLEKHM2	-0.529765674	0.132589745	
HGNC:2419	CRYZ	0.63098547	0.379096575	
HGNC:8939	PHTF1	0.381123754	0.24865175	
HGNC:12936	ZBTB17	1.036744228	0.015610965	
HGNC:1688	CD58	-0.836227487	0.140166096	
HGNC:30774	TFAP2E	-0.06468598	0.920029706	
HGNC:1639	CD2	-0.681929501	0.437677109	
HGNC:12398	TTF2	0.253607328	0.330656925	
HGNC:7984	NR5A2	-3.221444624	0.000204459	
HGNC:29442	KIF21B	-1.129225987	0.056587913	
HGNC:18823	TMEM9	2.395289898	3.63E-05	
 	ADPRHL2	0.979952962	0.01521737	
HGNC:25514	MAP7D1	-0.950841175	0.0189454	
HGNC:12730	WARS2	-0.31323316	0.423548406	
HGNC:4810	HAO2	9.680593977	0.011375135	
HGNC:29971	OSCP1	0.759188817	0.123292445	
HGNC:14504	MRPS15	0.786431769	0.147048685	
HGNC:24659	EXOC8	-0.006099328	0.984161529	
HGNC:4416	GNPAT	0.435807798	0.224918731	
HGNC:12380	TSNAX	0.745793024	0.082623415	
 	C1orf109	0.108142191	0.745681597	
HGNC:19902	RRAGC	-1.198570903	0.007808716	
HGNC:7821	NID1	-2.588070833	0.000151962	
HGNC:6569	LGALS8	0.145279106	0.584985718	
HGNC:18212	HPCAL4	-1.896090057	0.072418467	
HGNC:7468	MTR	-0.78434204	0.017914022	
 	BMP8B	-0.985735242	0.156151494	
HGNC:7555	MYCL	-0.695226311	0.421661165	
HGNC:23800	SIPA1L2	-0.017345226	0.975794407	
HGNC:10025	RLF	-0.489632745	0.067141037	
HGNC:6381	KMO	0.326728032	0.584449293	
HGNC:28418	ZNF684	-0.629362439	0.1194483	
HGNC:6298	KCNQ4	-0.030176256	0.97451173	
HGNC:21292	RIMS3	-2.002021625	0.018304219	
 	AKT3	-3.618206078	4.46E-06	
HGNC:3492	ETV3	-0.259078385	0.465084444	
 	ACADM	-1.329843544	0.022232757	
HGNC:19342	ST6GALNAC5	-1.078685556	0.376047564	
HGNC:10903	SLAMF1	-1.783722631	0.120403343	
HGNC:1683	CD48	-1.325602836	0.047388108	
 	ADGRL2	-0.621720224	0.551483729	
HGNC:18341	PADI2	-0.913706682	0.477320074	
HGNC:10681	SDHB	-0.04541174	0.890440134	
HGNC:7033	MFAP2	1.320076587	0.11564476	
HGNC:30350	RPF1	0.520965603	0.08361176	
HGNC:18039	KDM5B	1.1465683	0.005530104	
HGNC:12457	UAP1	-0.331143118	0.41836366	
 	ACTL8	8.935102758	0.000665259	
HGNC:2496	CTBS	0.196206769	0.641552164	
HGNC:10000	RGS4	0.223805677	0.788792748	
HGNC:19360	KLHL12	0.883159788	0.010607259	
HGNC:28246	IGSF21	1.384979794	0.219588158	
HGNC:16509	SSX2IP	1.833114356	0.000476592	
HGNC:26089	ZNHIT6	0.609778793	0.168297331	
HGNC:9033	PLA2G2D	-0.576812128	0.626888802	
HGNC:9888	RBBP5	0.623477488	0.086173951	
HGNC:4184	GBP3	0.391267122	0.502007438	
HGNC:4182	GBP1	-0.692619528	0.227018729	
HGNC:38872	PINK1-AS	0.035457766	0.940259065	
HGNC:19167	KIF17	-2.68149445	0.000229788	
HGNC:31984	GPR89A	1.623507003	0.002955129	
HGNC:8751	CDK18	1.61814316	0.018448384	
HGNC:9789	RAB29	-0.437453348	0.445535713	
HGNC:17013	CD160	-2.030185797	0.008691598	
HGNC:3146	ECE1	-0.393077315	0.328054782	
HGNC:5005	HMGCL	0.207818511	0.563040231	
HGNC:4116	GALE	2.275167953	0.000249297	
HGNC:5362	ID3	-1.950589533	0.005715331	
HGNC:2336	CR2	0.767047238	0.640230502	
HGNC:6953	CD46	0.895705507	0.061847282	
HGNC:17348	PRPF3	0.385229875	0.217716344	
 	APH1A	1.09806411	0.00696529	
HGNC:19316	P3H1	-0.214571446	0.624535407	
HGNC:11005	SLC2A1	2.051001092	0.001000575	
HGNC:15531	EBNA1BP2	1.308242719	0.001149906	
HGNC:1723	CDC20	3.597975925	0.003765431	
HGNC:7217	MPL	-1.734707832	0.021999232	
 	ARTN	3.879182507	0.002051813	
HGNC:16853	IPO13	0.570431018	0.069214976	
 	ATP6V0B	1.969559592	0.00059464	
 	B4GALT2	0.713909147	0.111641706	
HGNC:17276	ERI3	0.797314333	0.007357523	
HGNC:9586	PTCH2	-2.128061697	0.002246017	
 	AKR1A1	0.630673284	0.077584163	
HGNC:9352	PRDX1	0.967672062	0.024225349	
HGNC:8981	PIK3R3	0.227549944	0.692496874	
HGNC:20657	TSPAN1	4.793939306	0.001040771	
 	BLZF1	0.786770302	0.08806066	
 	CCDC181	0.116858811	0.85100968	
HGNC:10938	SLC19A2	0.563867222	0.30969858	
HGNC:3553	FAAH	2.200623074	0.000971528	
HGNC:31802	NSUN4	0.33237033	0.198560852	
HGNC:24251	TMED5	-0.689521687	0.154118573	
HGNC:3017	DR1	-0.199000483	0.597862661	
HGNC:24024	FMO6P	-1.339600119	0.247515588	
HGNC:2157	CNN3	-1.22685119	0.075791038	
HGNC:24903	PRRC2C	0.072826892	0.827913314	
HGNC:3541	F3	-1.595056298	0.093385035	
 	ABCD3	0.752348351	0.158625118	
HGNC:12645	VAMP4	-0.02137029	0.954389408	
HGNC:24270	DPH5	0.066470584	0.82903313	
HGNC:11936	FASLG	-0.591733449	0.501243438	
HGNC:17662	PTBP2	-0.624961986	0.079034396	
HGNC:11934	TNFSF4	-0.316425028	0.665867377	
HGNC:16753	PRDX6	-1.065214307	0.020811835	
HGNC:25538	DARS2	0.730393412	0.149945721	
HGNC:5208	HSD11B1	-3.193117131	0.02445303	
HGNC:6121	IRF6	1.942862759	0.066671582	
HGNC:28440	DIEXF	0.385039209	0.262953278	
HGNC:23496	PLPPR4	-3.532016362	7.78E-05	
HGNC:775	SERPINC1	2.297370022	0.042296304	
HGNC:3042	RCAN3	0.410080065	0.448965395	
HGNC:19824	SYF2	0.01484634	0.965561687	
HGNC:25234	RSRP1	-0.023101741	0.964718622	
HGNC:11023	SLC35A3	0.65557424	0.204745072	
HGNC:25594	RCOR3	0.330412419	0.339449555	
HGNC:6510	STMN1	1.608898297	0.01321407	
HGNC:28836	MTFR1L	-0.552064681	0.069168672	
HGNC:19080	MAN1C1	-0.299592896	0.692363112	
HGNC:7745	NEK2	3.939535622	0.006218052	
HGNC:10430	RPS6KA1	1.668335203	0.014008193	
HGNC:20603	DHDDS	-1.196018636	0.003505774	
HGNC:30384	NENF	1.37828894	0.010138424	
HGNC:24548	NSL1	0.571915046	0.214086657	
HGNC:9459	PROX1	-4.812737356	8.28E-06	
 	ARID1A	0.099049565	0.760656697	
HGNC:1857	CENPF	2.993465545	0.003023644	
HGNC:10290	RPA2	-0.059041649	0.834295733	
HGNC:9296	PPP1R8	0.207104446	0.448233159	
HGNC:11430	STX12	-1.002602832	0.00789989	
HGNC:26064	Mar-02	-1.842430514	0.002139072	
HGNC:22146	SLC5A9	-0.874963452	0.226106907	
HGNC:16386	OSBPL9	-0.395779524	0.239745245	
HGNC:24626	TXNDC12	0.309909321	0.227069016	
HGNC:22211	ESYT2	-1.261985954	0.001534408	
 	CD3EAP	2.075952404	0.001530653	
HGNC:13520	MESD	0.333728091	0.307368364	
HGNC:9935	RCN2	0.009481586	0.972904048	
HGNC:1964	CHRNB4	2.028064107	0.129867372	
HGNC:7516	MUC5B	2.611923618	0.160249107	
HGNC:2529	CTSD	1.644135916	0.095450651	
HGNC:17213	COLEC11	-4.440206594	0.000114206	
HGNC:11354	STAG1	-1.143930749	0.008495537	
 	A4GNT	-2.633977649	0.012347641	
HGNC:11389	STK11	0.574410731	0.051642172	
HGNC:7132	KMT2A	-0.947476817	0.024008767	
HGNC:12266	TREH	-3.150039814	0.006300044	
HGNC:26146	IFT46	0.598067002	0.089762296	
HGNC:7175	MMP8	-2.528466952	0.053328105	
 	APOA1	1.737478497	0.058272342	
HGNC:25294	ZNF541	-0.408872161	0.514051895	
HGNC:11069	SLC8A2	6.323836367	0.000679889	
HGNC:6404	KPTN	1.47569836	0.003959259	
HGNC:10413	RPS25	0.090301536	0.842807198	
HGNC:19181	KIF14	2.481054919	0.017694286	
HGNC:11949	TNNT2	2.463921114	0.126159843	
HGNC:25360	DDX59	0.593808742	0.108717174	
 	CAMSAP2	-0.037911379	0.911218362	
 	ATF6	0.439713414	0.292999229	
HGNC:25478	MREG	1.443187119	0.032110641	
HGNC:29160	FASTKD2	0.130197098	0.719205861	
HGNC:8005	NRP2	-2.389379431	4.76E-05	
HGNC:2345	CREB1	-0.804657937	0.020703091	
HGNC:6350	KLF7	-2.135298057	0.000237389	
 	B4GALT6	-1.292675564	0.08026616	
 	C1orf54	-1.208455498	0.019446993	
 	CA14	1.629028181	0.040498031	
 	CASC1	1.805161007	0.047741463	
HGNC:6690	LRMP	-3.208276322	8.62E-06	
 	ATP10B	-0.188484157	0.838165336	
HGNC:28962	SPCS2	0.6791353	0.036452815	
HGNC:20061	USP35	0.750601769	0.152565896	
HGNC:14415	ELOVL4	-0.411165024	0.493697909	
HGNC:21015	FILIP1	-3.379124006	8.17E-05	
 	CASP8AP2	-0.60817812	0.079517088	
HGNC:12312	HMGN3	0.049805172	0.91927805	
HGNC:21381	UBE3D	0.052923845	0.906338534	
HGNC:2159	CNR1	-0.896752069	0.509843862	
 	ANKRD13C	-0.477300403	0.101719555	
HGNC:25412	SGIP1	-0.981483549	0.050319389	
HGNC:8921	PHF3	-0.273722393	0.503577389	
HGNC:9046	PLAGL1	-2.929634725	0.007748844	
HGNC:15600	FBXO30	-0.389287707	0.324406892	
HGNC:11896	TNFAIP3	-1.378530475	0.012112876	
 	AKAP7	-1.508474266	0.00476215	
HGNC:9772	RAB32	-1.712638471	0.001532206	
HGNC:7545	MYB	2.419791691	0.062065221	
 	ALDH8A1	0.19842512	0.740340593	
HGNC:10810	SGK1	-2.651403856	0.002651778	
HGNC:21336	RNF146	-0.939559673	0.003888144	
 	ARG1	-0.553169554	0.366825962	
 	CTGF	-1.678598201	0.012447979	
HGNC:11632	TCF21	-5.370843116	0.000148958	
HGNC:17728	PMFBP1	0.41001239	0.588121854	
HGNC:13602	FBXL5	-1.007965255	0.029762555	
HGNC:24628	MED28	-0.036492271	0.884847367	
HGNC:10928	SLC16A7	-6.191541249	8.60E-06	
HGNC:13530	RXYLT1	0.199168979	0.585275721	
HGNC:20808	ZNF430	-0.123774135	0.715032052	
HGNC:12647	VAMP8	1.687310155	0.002415913	
HGNC:17641	DCLRE1B	-0.301251042	0.397244686	
HGNC:29827	MYL12B	0.493492278	0.195809855	
HGNC:3821	FOXO3	-0.145675448	0.697541473	
 	ARMC2	-0.708884561	0.100030952	
HGNC:10382	RPN2	1.08064587	0.012475791	
HGNC:15764	TGIF2	0.83826473	0.164872528	
 	CASQ2	-5.1711705	9.59E-05	
HGNC:9009	PKD2	-2.853946895	0.000318895	
 	ABCG2	-1.505539133	0.056554164	
HGNC:11255	SPP1	1.101614955	0.133201811	
HGNC:24854	STBD1	-1.923562451	0.035372545	
 	CCNI	-0.292959634	0.523570839	
HGNC:9867	RARRES1	1.755121575	0.207374801	
HGNC:25874	MFSD1	-0.129015401	0.755456513	
HGNC:17168	RAB3GAP2	-0.036544528	0.893896416	
HGNC:32221	EEF2KMT	0.909848099	0.030247044	
HGNC:9273	PPL	-1.237959033	0.016970268	
HGNC:12506	UBN1	-0.19834709	0.409180721	
HGNC:6346	KLF12	-1.692797142	0.000217745	
HGNC:12515	UCHL3	0.708198479	0.158460162	
HGNC:14267	PCDH17	0.014186345	0.982939973	
HGNC:24979	HS1BP3	0.986712134	0.021212122	
HGNC:26145	LDAH	-0.169127573	0.578451243	
HGNC:29250	WDR35	-0.029777259	0.917754226	
 	CCND2	2.359950587	0.118300646	
HGNC:17064	ELL2	0.39540947	0.547765347	
HGNC:18661	DNAH7	0.179446492	0.82130544	
HGNC:20576	CYP20A1	-0.676992949	0.031967375	
HGNC:7698	NDUFB3	0.49847645	0.147726895	
HGNC:4666	GTF3C3	-0.614333411	0.033883775	
HGNC:21637	SATB2	-1.283489651	0.137467806	
HGNC:12473	UBE2B	-0.260814725	0.466481754	
HGNC:17995	TRPM6	-4.444379755	0.000429953	
HGNC:4212	GDA	1.113130288	0.438837721	
HGNC:1123	KLF9	-2.650280481	3.94E-05	
HGNC:11828	TJP2	-1.724484033	0.000722462	
 	C2orf40	-5.628049213	1.80E-05	
HGNC:23927	ITGB1BP1	-2.166217329	4.25E-05	
HGNC:2326	CPSF3	0.716363531	0.044867794	
HGNC:30596	PIGZ	-0.850221728	0.116475536	
HGNC:28407	SENP5	0.025439187	0.927897192	
 	CCDC92	-0.214351702	0.583961808	
 	C1orf198	0.524817832	0.363798447	
HGNC:31859	TRIM67	0.045693245	0.951934829	
HGNC:25517	HEATR1	0.042724476	0.900386758	
HGNC:10253	PTBP3	0.259570807	0.48133368	
HGNC:9813	RAD23B	-0.035016073	0.91863014	
HGNC:23397	FKBP15	-0.544478817	0.064472481	
HGNC:2512	CTNNAL1	-1.904618538	0.010260964	
HGNC:1364	FAM206A	-0.133775979	0.65252057	
HGNC:28296	WDR34	1.62684075	0.004374943	
HGNC:10760	SET	0.378968308	0.209039445	
HGNC:9308	PTPA	1.139895988	0.011201945	
HGNC:4315	GLE1	0.29889851	0.397495332	
HGNC:16524	RAB14	-0.343072685	0.332653597	
HGNC:1858	CNTRL	-1.143321946	0.00623407	
HGNC:16380	TRIM32	-0.085440097	0.778430025	
HGNC:13608	FBXW2	-0.941817436	0.009662938	
HGNC:24566	PHF19	-0.869747412	0.042982808	
HGNC:7749	NEK6	-0.552058732	0.219637462	
 	BSPRY	1.945493551	0.130777387	
HGNC:9323	PPP6C	-0.513440917	0.18449795	
HGNC:7692	NDUFA8	0.595154155	0.071699359	
HGNC:28171	HDHD3	0.771758284	0.025012138	
HGNC:28413	RBM18	-0.232366864	0.577375383	
HGNC:16055	SLC46A2	0.600100261	0.604384024	
HGNC:18572	HSDL2	-2.038199727	0.002475667	
HGNC:18752	MAPKAP1	-0.122358103	0.703817935	
HGNC:7982	NR4A3	-1.415932532	0.159606425	
HGNC:17870	INVS	-0.946598064	0.042189767	
HGNC:19877	GALNT12	-4.423089948	1.96E-05	
HGNC:29324	DENND1A	0.070268774	0.86170678	
 	ALG2	0.042369378	0.895062775	
HGNC:2439	CSF3R	0.401020696	0.625142638	
HGNC:4021	KDSR	-0.392646902	0.297027572	
HGNC:10895	VPS4B	-0.380598051	0.243569011	
HGNC:8139	ONECUT2	2.192662964	0.115006661	
 	C19orf25	1.26947274	0.001403034	
HGNC:23715	ZBTB45	1.065343112	0.004372749	
HGNC:17798	YLPM1	-0.631309358	0.084212397	
HGNC:20229	DCAF4	0.38670385	0.291731798	
HGNC:26715	PROX2	-1.466909669	0.071935966	
HGNC:20220	FCF1	-0.698886186	0.037157753	
HGNC:8893	PGF	0.747277161	0.25827508	
HGNC:19753	IFI27L2	0.123346826	0.868009432	
 	BBOF1	0.599351248	0.197554393	
HGNC:18591	NEK9	-0.906620302	0.041495602	
 	ACYP1	0.897608025	0.082091359	
HGNC:29669	IFT43	0.96617668	0.015578744	
HGNC:14537	NPC2	-0.55672124	0.321733154	
HGNC:23247	DNAL1	0.11866743	0.776800745	
HGNC:14282	IRF2BPL	0.397696342	0.390302756	
 	ACOT2	-1.198319763	0.088364487	
HGNC:6715	LTBP2	-2.485900239	0.000259841	
 	AREL1	-0.126279941	0.643575463	
HGNC:7128	MLH3	-0.289778538	0.352022215	
HGNC:19963	TTLL5	0.390541608	0.134495342	
HGNC:20105	FLVCR2	-1.286811494	0.024955576	
 	ABCD4	-1.315385084	0.000523214	
HGNC:2911	DLST	-1.141595177	0.005163048	
HGNC:23788	PPP4R4	1.858143792	0.307773219	
HGNC:11769	TGFB3	0.111346937	0.827304803	
HGNC:20354	ZC2HC1C	1.554297941	0.018674616	
HGNC:20495	SLIRP	1.006127712	0.034920344	
HGNC:23244	RBM25	-0.083861128	0.770177429	
 	ALDH6A1	-1.581647305	0.042458551	
HGNC:4519	GPR68	1.013074516	0.115454302	
HGNC:3473	ESRRB	-0.424033118	0.530031779	
HGNC:3258	EIF2B2	0.3445541	0.265330689	
HGNC:20186	NRDE2	-0.578212584	0.078547505	
HGNC:20233	COQ6	0.787971879	0.061971579	
HGNC:20144	ZNF410	0.099222683	0.842829694	
HGNC:17736	RHOQ	-1.704098875	0.000641626	
HGNC:4526	GPR75	-0.948686544	0.138658284	
HGNC:30632	SUPT7L	0.058776458	0.844336682	
HGNC:29404	KLHL29	-4.379077901	6.40E-06	
HGNC:2978	DNMT3A	0.514494182	0.131720195	
HGNC:25983	TMEM214	0.100360562	0.773763453	
 	ATAD2B	0.097755259	0.787593001	
HGNC:3712	FKBP1B	0.323546008	0.618294883	
 	ATL2	0.199792578	0.596637179	
HGNC:18329	YPEL5	-0.391645682	0.223172338	
HGNC:24520	FAM98A	0.180274692	0.625190926	
HGNC:28145	YIPF4	-0.517090249	0.045525187	
 	AFTPH	0.882056125	0.005907445	
HGNC:25012	LGALSL	-0.554075656	0.355706458	
HGNC:24546	CNRIP1	-4.175294506	1.28E-06	
 	BCL11A	1.530555515	0.35829916	
HGNC:14312	CRIPT	0.66177063	0.076170325	
HGNC:11529	EPCAM	3.288054836	0.034194464	
HGNC:10933	SLC17A5	-0.240138869	0.548504686	
HGNC:21378	OGFRL1	-1.02113169	0.067983446	
HGNC:17814	SLF2	-0.176847229	0.580222954	
HGNC:5381	IDE	0.317385885	0.282028247	
HGNC:18047	ELOVL3	-3.630581956	0.000239563	
HGNC:5411	IFIT3	-1.23199117	0.013028217	
HGNC:5409	IFIT2	-1.017373354	0.014725315	
HGNC:24865	GPAM	-6.230708927	2.42E-06	
HGNC:24271	CUTC	-1.196778766	0.000918892	
HGNC:9293	PPP1R3C	0.42455176	0.664442618	
HGNC:23517	PYROXD2	-1.261489925	0.037068694	
HGNC:102	CNNM1	2.410059777	0.072118197	
HGNC:7534	MXI1	-0.600945556	0.125956675	
HGNC:16900	SMNDC1	-0.113943259	0.677254569	
 	C10orf88	0.264141568	0.436769462	
HGNC:4861	HELLS	2.165022945	0.002123276	
HGNC:24519	TCTN3	0.078527701	0.773788995	
HGNC:31793	FAM45A	-0.446123069	0.190970226	
 	AVPI1	-1.540128969	0.004458168	
HGNC:13831	WDR11	-0.940092157	0.018980794	
 	C10orf76	-0.292070389	0.328085492	
HGNC:15522	KCNIP2	-8.34444601	3.04E-06	
HGNC:26676	CFAP58	-1.288964871	0.044360789	
HGNC:4432	GOT1	1.268792998	0.000473057	
 	C10orf95	2.356541446	0.021130749	
HGNC:10779	SFRP5	-1.670934258	0.18160581	
HGNC:4381	GNA13	-0.105057757	0.800852754	
HGNC:5119	HOXB8	-3.332289002	9.44E-05	
HGNC:24565	KANSL1	-0.16328489	0.550645019	
HGNC:5116	HOXB5	3.897447139	0.037823781	
HGNC:2357	CRHR1	0.438369089	0.729374205	
HGNC:5114	HOXB3	1.322629147	0.177446339	
HGNC:5111	HOXB1	2.149905187	0.033628523	
HGNC:3064	DUSP1	-2.731767784	0.000204025	
HGNC:19365	PANK3	0.895097214	0.142791589	
HGNC:7392	MSX2	2.10486978	0.129376288	
HGNC:11724	TEK	-4.098684368	3.95E-05	
HGNC:17687	RCL1	-0.105934217	0.799742959	
 	CAAP1	-0.130277065	0.827774755	
HGNC:23825	MOB3B	-2.205857388	0.014263388	
HGNC:6087	INSL4	6.602505026	0.020770848	
HGNC:7124	MLANA	-0.490484445	0.448593331	
 	CD274	-1.070751538	0.025640617	
HGNC:4572	GRIA2	5.557385818	0.028206365	
HGNC:21182	NUP43	0.017798721	0.951563397	
HGNC:21055	MTHFD1L	-0.573232362	0.315940417	
HGNC:16936	LRP11	-0.466273076	0.117969289	
 	CCDC170	1.332121721	0.131902325	
HGNC:8728	PCMT1	0.138868757	0.706265535	
HGNC:20884	PLEKHG1	-2.153393752	0.00375922	
HGNC:23172	MYCT1	-3.334958872	2.31E-05	
HGNC:25667	CXorf21	-2.701717289	0.000385457	
HGNC:6811	MAGEB4	2.831666846	0.145657394	
HGNC:30239	CYSTM1	-0.232980423	0.694718097	
HGNC:25971	WDR55	0.297821062	0.272719649	
 	ARAP3	-2.315016079	0.000257152	
HGNC:8693	PCDHB8	-0.136828343	0.852779841	
HGNC:8681	PCDHB10	-0.996237448	0.154363179	
HGNC:8685	PCDHB14	-1.230032139	0.072343311	
HGNC:8683	PCDHB12	-2.645808473	0.000692302	
HGNC:22942	TNN	-3.820920521	0.000204318	
HGNC:14049	MRPS14	0.225749633	0.446925247	
HGNC:17879	CENPL	1.27420137	0.018245026	
HGNC:11932	TNFSF18	-1.522522716	0.148437029	
HGNC:30301	SEC16B	-1.404785892	0.06386126	
HGNC:25676	GORAB	0.379456983	0.37653585	
 	ACAT2	0.922431184	0.01054171	
HGNC:11655	TCP1	-0.073839384	0.786225108	
HGNC:21211	TTLL2	1.719936615	0.158242279	
HGNC:21532	SNX19	-0.783661015	0.009392018	
HGNC:6266	KCNJ5	-2.900492569	0.00026491	
HGNC:26266	MSANTD2	0.157508107	0.762166404	
HGNC:29984	TP53AIP1	-1.296331317	0.333862484	
HGNC:11733	TEX11	0.867610568	0.418267146	
 	ARR3	-0.38210268	0.493370719	
HGNC:28034	PDZD11	1.164001139	0.007366605	
HGNC:23088	SLC10A7	0.437750989	0.38031618	
HGNC:24306	NUDCD1	0.531132087	0.302301155	
HGNC:24449	ENY2	0.571660474	0.166447874	
HGNC:19042	MASTL	0.585633957	0.197609861	
HGNC:25428	KIAA1217	-0.338513064	0.286811602	
HGNC:30810	SEPT7P9	-0.719500639	0.312571726	
HGNC:21013	PLXDC2	-1.688188292	0.011021465	
HGNC:19876	EPC1	-0.599532394	0.045191261	
HGNC:29193	IQSEC3	-0.826633262	0.505667807	
 	CCDC77	1.580255016	0.062512823	
HGNC:11545	TAF12	0.439719192	0.29990032	
HGNC:25474	ENOX1	1.699108299	0.186080639	
HGNC:11926	TNFSF11	2.603274059	0.164177116	
HGNC:7469	MTRF1	0.115372402	0.755168165	
HGNC:39933	SPART-AS1	-0.654901559	0.466191192	
HGNC:26026	SOHLH2	-0.014521848	0.985608393	
HGNC:20325	DNAJC15	-0.234076133	0.694102195	
HGNC:20291	PROSER1	0.228744201	0.451087039	
HGNC:20597	UFM1	0.133998216	0.714846099	
HGNC:12739	WBP4	-0.898373029	0.005486715	
HGNC:3316	ELF1	-0.232547512	0.54287193	
HGNC:6774	SMAD9	-2.932694539	0.000162636	
HGNC:16969	HSPH1	0.746684854	0.07165646	
HGNC:25266	KBTBD7	-0.061223626	0.874474291	
 	ALG5	0.337046981	0.436617716	
HGNC:17035	EXOSC8	0.00594151	0.985514991	
HGNC:3477	ETF1	-0.530541217	0.101654223	
HGNC:11771	TGFBI	-2.106958801	0.000288826	
HGNC:1336	FAM53C	-0.188164925	0.481136614	
HGNC:24624	SIL1	0.88538793	0.037334449	
HGNC:17970	PAIP2	-0.196352693	0.635722661	
HGNC:12399	MYOT	-0.423302807	0.6548338	
HGNC:1337	KDM3B	-0.415103451	0.235829271	
HGNC:3238	EGR1	-3.130028273	7.70E-05	
HGNC:10759	SERP1	1.152754904	0.005558953	
HGNC:9090	PLS1	2.424536921	0.026650448	
HGNC:29555	ZFP30	0.14412123	0.691461199	
HGNC:7971	NR2C1	-0.540658764	0.254213969	
HGNC:17897	UTP20	-0.549074668	0.121525535	
HGNC:11875	TMPO	0.729030747	0.063692743	
 	ARL1	0.674362719	0.078554659	
HGNC:24890	GLT8D2	-2.628940082	1.71E-05	
HGNC:30779	MTERF2	0.071627491	0.816932769	
HGNC:19382	SOCS2	-0.512127803	0.589994772	
HGNC:7805	NFYB	-0.494466349	0.0970979	
HGNC:24256	WASHC3	0.009910695	0.976142631	
 	APAF1	-0.574688254	0.265143651	
HGNC:3070	DUSP4	1.736860064	0.104866469	
HGNC:2095	CLU	0.93726134	0.272570806	
HGNC:11905	TNFRSF10B	0.316695125	0.229552103	
HGNC:30907	SORBS3	-0.361625655	0.457079702	
HGNC:9612	PTK2B	0.406382356	0.442214617	
HGNC:1956	CHRNA2	1.442241522	0.229314538	
 	ADRA1A	-7.324866622	4.34E-06	
HGNC:9316	PPP3CC	-0.123314006	0.778553347	
HGNC:13992	PDLIM2	-0.406163985	0.35042954	
HGNC:3402	EPHX2	-0.123442928	0.781545966	
HGNC:25358	RNF170	0.220341404	0.660707988	
HGNC:30791	UBIAD1	0.76016445	0.015008975	
HGNC:11571	TARDBP	0.5599104	0.060642634	
HGNC:11923	TNFRSF8	-3.877186185	0.000219396	
HGNC:24992	ZNF706	0.513988432	0.162152415	
HGNC:6737	LYPLA1	1.96230057	0.024324075	
HGNC:18206	CRISPLD1	-0.615239857	0.582986174	
HGNC:2240	COPS5	0.755592839	0.102035813	
HGNC:19975	RDH10	-0.526771297	0.42768162	
HGNC:3423	EPX	-1.197889226	0.055557776	
 	AKAP1	-0.802303946	0.103893224	
HGNC:2184	COIL	0.813479814	0.063631026	
HGNC:12932	TRIM25	-0.9613203	0.017278439	
HGNC:29507	SCPEP1	-1.521579962	0.007528748	
HGNC:11254	SPOP	0.06075216	0.854280797	
HGNC:11597	TBX2	-0.43182925	0.504109045	
HGNC:20798	SLC35B1	1.345238668	0.000483222	
HGNC:11603	TBX4	-2.684887479	0.009854232	
HGNC:33442	NACA3P	0.372949864	0.73640071	
HGNC:11737	TEX14	-0.029844414	0.96531027	
HGNC:24179	FAM117A	0.118446503	0.804138176	
HGNC:1112	NCAPH	2.871914762	0.000886771	
HGNC:6685	LRAT	0.011279785	0.993218298	
HGNC:29146	TMEM131L	-0.961413992	0.079317785	
HGNC:24839	MND1	3.040884821	0.001365252	
HGNC:16277	TRIM6	-1.09964658	0.070425033	
 	ABCC11	4.648521499	0.029936092	
HGNC:30758	PAPD5	-0.198130977	0.619887285	
 	ADCY7	-2.618242321	0.002080142	
HGNC:25907	CEP89	0.596951336	0.048467036	
HGNC:30700	TSHZ3	-2.048192279	0.000356099	
HGNC:23408	ECHDC2	-0.607648333	0.233700891	
HGNC:26215	PLBD1	0.32744215	0.736151963	
HGNC:14918	TAS2R10	-1.570024151	0.208023795	
HGNC:26162	PYROXD1	0.346765541	0.291954801	
HGNC:6269	KCNJ8	-1.950065576	0.010169597	
 	BCL2L14	1.335794307	0.300609489	
HGNC:20320	PSPC1	0.692331713	0.021436226	
HGNC:26632	ZNF549	0.112741073	0.773842027	
 	A1BG	2.366346878	0.005441149	
HGNC:21037	ZSCAN18	0.238810551	0.681467366	
HGNC:13003	ZNF211	-0.030192929	0.926255249	
HGNC:17704	PDZRN3	-2.272263168	0.00097808	
HGNC:21734	LHX4	0.409553758	0.551091305	
HGNC:10061	RNF2	0.593875412	0.114932973	
HGNC:16782	TRMT1L	0.515779173	0.206776055	
HGNC:20260	SEC22A	0.248204864	0.446794644	
